provinsi,partai pemenang,jumlah suara
Aceh,Gerindra,376784
Bali,PDIP,1257590
Banten,PDIP,914719
Bengkulu,PDIP,137006
DI Yogyakarta,PDIP,654088
DKI Jakarta,PDIP,1625042
Gorontalo,NasDem,169509
Jambi,Golkar,360297
Jawa Barat,Gerindra,4320050
Jawa Tengah,PDIP,5251813
Jawa Timur,PKB,4198551
Kalimantan Barat,PDIP,532699
Kalimantan Selatan,Golkar,343144
Kalimantan Tengah,PDIP,354331
Kalimantan Timur,Golkar,350829
Kalimantan Utara,NasDem,62971
Kepulauan Bangka Belitung,PDIP,169644
Kepulauan Riau,Golkar,173998
Lampung,PDIP,887416
Maluku,PDIP,197648
Maluku Utara,PDIP,111296
Nusa Tenggara Barat,Gerindra,443321
Nusa Tenggara Timur,NasDem,510574
Papua,NasDem,787753
Papua Barat,NasDem,109157
Riau,PDIP,378913
Sulawesi Barat,PDIP,214365
Sulawesi Selatan,Golkar,833382
Sulawesi Tengah,NasDem,271513
Sulawesi Tenggara,Golkar,203794
Sulawesi Utara,PDIP,564703
Sumatera Barat,Gerindra,560835
Sumatera Selatan,Golkar,671290
Sumatera Utara,PDIP,1404548
